x,y,x-x_mean,y-y_mean,(x-x_mean)(y-y_mean),(x-x_mean)^2
15,49,-4.933333333,-7.8,38.48,24.33777778
23,63,3.066666667,6.2,19.01333333,9.404444444
18,58,-1.933333333,1.2,-2.32,3.737777778
23,60,3.066666667,3.2,9.813333333,9.404444444
24,58,4.066666667,1.2,4.88,16.53777778
22,61,2.066666667,4.2,8.68,4.271111111
22,60,2.066666667,3.2,6.613333333,4.271111111
19,63,-0.933333333,6.2,-5.786666667,0.871111111
19,60,-0.933333333,3.2,-2.986666667,0.871111111
16,52,-3.933333333,-4.8,18.88,15.47111111
24,62,4.066666667,5.2,21.14666667,16.53777778
11,30,-8.933333333,-26.8,239.4133333,79.80444444
24,59,4.066666667,2.2,8.946666667,16.53777778
16,49,-3.933333333,-7.8,30.68,15.47111111
23,68,3.066666667,11.2,34.34666667,9.404444444
19.93333333,56.8,0,0,429.8,226.9333333
